,文番号,表層,品詞1,品詞2,品詞3,品詞4,原型,posID
137,0,キャッシュ,名詞,一般,*,*,キャッシュ,38
138,0,I/O,名詞,固有名詞,一般,*,I/O,41
139,0,ハードディスク,名詞,一般,*,*,ハードディスク,38
140,0,フラッシュメモリ,名詞,固有名詞,一般,*,フラッシュメモリ,41
141,0,性能,名詞,一般,*,*,性能,38
142,0,並列,名詞,サ変接続,*,*,並列,36
143,0,性,名詞,接尾,一般,*,性,51
144,0,計算機,名詞,固有名詞,一般,*,計算機,41
145,0,アーキテクチャ,名詞,一般,*,*,アーキテクチャ,38
146,0,機械語,名詞,固有名詞,一般,*,機械語,41
147,0,アドレッシング,名詞,サ変接続,*,*,アドレッシング,36
148,0,フォン・ノイマン,名詞,固有名詞,一般,*,フォン・ノイマン,41
149,0,マシン,名詞,一般,*,*,マシン,38
150,0,デジタル回路,名詞,固有名詞,一般,*,デジタル回路,41
151,0,演算,名詞,サ変接続,*,*,演算,36
152,0,回路,名詞,一般,*,*,回路,38
153,0,加算器,名詞,固有名詞,一般,*,加算器,41
154,0,二進法,名詞,一般,*,*,二進法,38
156,0,数,名詞,一般,*,*,数,38
158,0,表現,名詞,サ変接続,*,*,表現,36
160,0,組合わ,動詞,自立,*,*,組合う,31
162,0,回路,名詞,一般,*,*,回路,38
163,0,真理値表,名詞,固有名詞,一般,*,真理値表,41
164,0,状態,名詞,一般,*,*,状態,38
165,0,回路,名詞,一般,*,*,回路,38
167,0,実行,名詞,サ変接続,*,*,実行,36
168,0,マルチ,名詞,一般,*,*,マルチ,38
169,0,サイクル,名詞,一般,*,*,サイクル,38
170,0,実行,名詞,サ変接続,*,*,実行,36
171,0,状態,名詞,一般,*,*,状態,38
172,0,遷移,名詞,サ変接続,*,*,遷移,36
173,0,機械,名詞,一般,*,*,機械,38
176,0,記憶,名詞,サ変接続,*,*,記憶,36
177,0,措置,名詞,サ変接続,*,*,措置,36
179,0,メモリ,名詞,一般,*,*,メモリ,38
180,0,DRAM,名詞,固有名詞,一般,*,DRAM,41
